policy,feature_set,seed,events,routes_used,routing_fraction,requests_forwarded,request_forward_fraction,gross_value,routing_cost,net_profit,pseudo_regret,capacity_utilization,capacity_violations,routing_efficiency
Random,with_ctr,42,80000,117382,0.36681875,66879,0.8359875,39861.97653305018,18229.46,21632.516533050184,18842.191732776235,0.917046875,0,0.18429159950461046
Greedy,without_ctr,42,80000,122240,0.382,45077,0.5634625,55800.84659017566,19272.973333333335,36527.87325684232,3828.8472650119074,0.955,0,0.2988209526901368
LinUCB,without_ctr,42,80000,126009,0.393778125,44012,0.55015,58675.74521789182,20007.18666666667,38668.55855122516,1615.5264311144638,0.9844453125,0,0.30687140244923106
Greedy,with_ctr,42,80000,123382,0.38556875,46313,0.5789125,55518.389167923844,19506.199999999997,36012.18916792384,4314.918528957729,0.963921875,0,0.29187555046865704
LinUCB,with_ctr,42,80000,126290,0.39465625,44223,0.5527875,58844.85023888044,20067.0,38777.85023888043,1670.370541767552,0.986640625,0,0.30705400458373927
Random,with_ctr,43,80000,117106,0.36595625,66904,0.8363,48687.015986046084,18182.32,30504.695986046085,23120.026512150424,0.914890625,0,0.2604878997322604
Greedy,without_ctr,43,80000,74531,0.232909375,44346,0.554325,51558.66114983725,14784.673333333332,36773.98781650391,16866.63690340804,0.5822734375,0,0.49340526514475735
LinUCB,without_ctr,43,80000,127537,0.398553125,42943,0.5367875,72711.49841664484,20384.6,52326.898416644835,1686.052429512827,0.9963828125,0,0.4102879824415255
Greedy,with_ctr,43,80000,74513,0.232853125,43131,0.5391375,52391.76682139876,14781.506666666666,37610.260154732096,16028.557646705303,0.5821328125,0,0.5047476300072752
LinUCB,with_ctr,43,80000,127697,0.399053125,43365,0.5420625,72627.88068532957,20404.86666666667,52223.0140186629,1757.3012160511935,0.9976328125,0,0.40896038292726455
Random,with_ctr,44,80000,116940,0.3654375,66854,0.835675,35874.247680389475,18135.62666666667,17738.62101372281,18613.734757503924,0.91359375,0,0.15168993512675572
Greedy,without_ctr,44,80000,122442,0.38263125,45268,0.56585,52106.72025861053,19587.70666666667,32519.01359194386,3643.413721198034,0.956578125,0,0.2655870827979277
LinUCB,without_ctr,44,80000,127250,0.39765625,44278,0.553475,55304.32408041973,20339.566666666666,34964.75741375306,1224.2039691813043,0.994140625,0,0.2747721604224209
Greedy,with_ctr,44,80000,123830,0.38696875,46683,0.5835375,52218.646976653734,19848.68666666667,32369.960309987073,3799.52564430454,0.967421875,0,0.2614064468221519
LinUCB,with_ctr,44,80000,127953,0.399853125,45081,0.5635125,55393.54719782395,20436.686666666665,34956.86053115729,1331.4240901464218,0.9996328125,0,0.2732007888143091
